index,Price [$/MWh]
10/02/17 3:50,116.66
10/02/17 3:55,116.66
10/02/17 4:00,139.22
10/02/17 4:05,139.22
10/02/17 4:10,139.22
10/02/17 4:15,139.22
10/02/17 4:20,139.22
10/02/17 4:25,139.22
10/02/17 4:30,103.88
10/02/17 4:35,103.88
10/02/17 4:40,103.88
10/02/17 4:45,103.88
10/02/17 4:50,103.88
10/02/17 4:55,103.88
10/02/17 5:00,145.66
10/02/17 5:05,145.66
10/02/17 5:10,145.66
10/02/17 5:15,145.66
10/02/17 5:20,145.66
10/02/17 5:25,145.66
10/02/17 5:30,149.5
10/02/17 5:35,149.5
10/02/17 5:40,149.5
10/02/17 5:45,149.5
10/02/17 5:50,149.5
10/02/17 5:55,149.5
10/02/17 6:00,183.36
10/02/17 6:05,183.36
10/02/17 6:10,183.36
10/02/17 6:15,183.36
10/02/17 6:20,183.36
10/02/17 6:25,183.36
10/02/17 6:30,232.7
10/02/17 6:35,232.7
10/02/17 6:40,232.7
10/02/17 6:45,232.7
10/02/17 6:50,232.7
10/02/17 6:55,232.7
10/02/17 7:00,137.31
10/02/17 7:05,137.31
10/02/17 7:10,137.31
10/02/17 7:15,137.31
10/02/17 7:20,137.31
10/02/17 7:25,137.31
10/02/17 7:30,144.32
10/02/17 7:35,144.32
10/02/17 7:40,144.32
10/02/17 7:45,144.32
10/02/17 7:50,144.32
10/02/17 7:55,144.32
10/02/17 8:00,280.06
10/02/17 8:05,280.06
10/02/17 8:10,280.06
10/02/17 8:15,280.06
10/02/17 8:20,280.06
10/02/17 8:25,280.06
10/02/17 8:30,188.21
10/02/17 8:35,188.21
10/02/17 8:40,188.21
10/02/17 8:45,188.21
10/02/17 8:50,188.21
10/02/17 8:55,188.21
10/02/17 9:00,237
10/02/17 9:05,237
10/02/17 9:10,237
10/02/17 9:15,237
10/02/17 9:20,237
10/02/17 9:25,237
10/02/17 9:30,200.1
10/02/17 9:35,200.1
10/02/17 9:40,200.1
10/02/17 9:45,200.1
10/02/17 9:50,200.1
10/02/17 9:55,200.1
10/02/17 10:00,251.32
10/02/17 10:05,251.32
10/02/17 10:10,251.32
10/02/17 10:15,251.32
10/02/17 10:20,251.32
10/02/17 10:25,251.32
10/02/17 10:30,408.24
10/02/17 10:35,408.24
10/02/17 10:40,408.24
10/02/17 10:45,408.24
10/02/17 10:50,408.24
10/02/17 10:55,408.24
10/02/17 11:00,573.89
10/02/17 11:05,573.89
10/02/17 11:10,573.89
10/02/17 11:15,573.89
10/02/17 11:20,573.89
10/02/17 11:25,573.89
10/02/17 11:30,425.56
10/02/17 11:35,425.56
10/02/17 11:40,425.56
10/02/17 11:45,425.56
10/02/17 11:50,425.56
10/02/17 11:55,425.56
10/02/17 12:00,237.66
10/02/17 12:05,237.66
10/02/17 12:10,237.66
10/02/17 12:15,237.66
10/02/17 12:20,237.66
10/02/17 12:25,237.66
10/02/17 12:30,341.1
10/02/17 12:35,341.1
10/02/17 12:40,341.1
10/02/17 12:45,341.1
10/02/17 12:50,341.1
10/02/17 12:55,341.1
10/02/17 13:00,311.66
10/02/17 13:05,311.66
10/02/17 13:10,311.66
10/02/17 13:15,311.66
10/02/17 13:20,311.66
10/02/17 13:25,311.66
10/02/17 13:30,900.2
10/02/17 13:35,900.2
10/02/17 13:40,900.2
10/02/17 13:45,900.2
10/02/17 13:50,900.2
10/02/17 13:55,900.2
10/02/17 14:00,291.01
10/02/17 14:05,291.01
10/02/17 14:10,291.01
